Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation,Latitude,Longitude
Open,8/29/2022 21:06,Carlsbad,NM,USA,Changing,Completley out of this world,8/30/2022,,,32.418235,-104.230988
Open,5/19/2015 23:00,Carlsbad,NM,USA,Changing,I was driving north on Hwy 285 between Carlsbad and Artesia. I saw a line of three to four red lights that twisted to reveal another.,5/19/2015,,,32.418235,-104.230988
Open,6/11/2019 22:00,Carrizozo,NM,USA,Changing,"I was driving and saw three glowing orbs is the best I can describe it. I was driving trying to keep an eye on it and as I watched it,",6/11/2019,,,33.642981,-105.876232
Open,10/1/2006 23:15,Cerrillos,NM,USA,Changing,"White fireball on huge object flying horizonally before changing colors, emitting orange balls of light and evaporating.",10/10/2006,,,35.435177,-106.126759
Open,4/3/2014 21:00,Clovis,NM,USA,Changing,6 red lights that changed it to a stream of gold light that simply disappeared.,4/5/2014,,,34.406841,-103.199641
Open,5/26/2022 15:20,College Station,NM,USA,Changing,Reflective shape changing object pacing our vehicle to the south,5/30/2022,Y,,35.080216,-106.640464
Open,8/31/2005 0:00,Crownpoint,NM,USA,Changing,Published newspaper article Navajo Nation Messenger on 8/31/05. Giant V and crash near Standing Rock NM,9/10/2005,,,35.679616,-108.150789
Open,11/23/2022 18:20,Deming,NM,USA,Changing,"Heard an animal howl, went out front door to investigate. Heard a loud mechanical buzz then saw lights.",11/23/2022,,,32.260473,-107.744865
Open,2/11/2014 14:00,Deming,NM,USA,Changing,Shape-shifting/color changing object.,2/11/2014,,,32.260473,-107.744865
Open,12/4/1999 2:00,Deming,NM,USA,Changing,Driving I10 west of Las Cruces NM a random shape object visable for more than 60 mins seem to follow my U-Hall truck.,11/19/2006,,,32.260473,-107.744865
Open,12/4/1995 2:00,Deming,NM,USA,Changing,Driving I10 west of Las Cruces NM a random shape object visable for more than 60 mins seem to follow my U-Hall truck.,11/19/2006,,,32.260473,-107.744865
Open,4/7/2005 17:01,Deming,NM,USA,Changing,"((NUFORC Note: Helium-filled heliostat. PD)) The shape-shifting object danced around at various speed, height and direction.",5/10/2005,,,32.260473,-107.744865
Open,10/16/2019 12:45,Farmington,NM,USA,Changing,About 5 lights in a row with different colors that looked as if they were connected by a foggy transparent ribbon Very low to the grou,10/16/2019,,,36.746211,-108.19233
Open,5/1/2011 22:15,Farmington,NM,USA,Changing,the crafts made form several small lights made a SOLID METALLIC DIAMOND AND hoveredand disappeared.,5/16/2011,,,36.746211,-108.19233
Open,5/28/2009 0:00,Farmington,NM,USA,Changing,80 to a100 strange lighted objects coming from the east skys,5/29/2009,,,36.746211,-108.19233
Open,3/22/2008 14:00,Gallup,NM,USA,Changing,2 shape shifting objects and one small turquoise object sighted over NW New Mexico in daylight,4/9/2008,,,35.519312,-108.733438
Open,9/30/2018 21:15,Ghost Ranch,NM,USA,Changing,"Large, circular, gauzy light moved in unison with our vehicle, changed shape into an oval, moved obliquely and, finally, straight down",10/16/2018,,,36.331495,-106.472842
Open,10/1/2006 23:00,Glorieta,NM,USA,Changing,"Large, meteor-type light seen near Santa Fe, NM.",10/4/2006,,,35.58264,-105.769
Open,4/21/2022 1:53,Grants,NM,USA,Changing,We are above Grants New Mexico stationery and moving every single night,4/20/2022,Y,,35.152307,-107.834548
Open,10/13/1998 2:30,Heron State Park,NM,USA,Changing,"Watched a strange light for about an hour. During its flight, it made numerous odd flight changes, including bouncing up and down like",12/22/1998,,,36.665702,-106.690881
Open,11/7/2014 20:30,Hobbs,NM,USA,Changing,Triangle shaped blinking red lights moving slowly in the northern sky.,11/18/2014,,,32.706351,-103.132147
Open,4/5/2014 18:30,Hobbs,NM,USA,Changing,"Three circular craft changing shape SW of Hobbs, NM. ((NUFORC Note: Possible street lamps in front of Sun. PD))",4/5/2014,,,32.706351,-103.132147
Open,4/5/2014 18:30,Hobbs,NM,USA,Changing,"Three circular craft changing shape SW of Hobbs, NM",4/9/2014,,,32.706351,-103.132147
Open,3/5/2021 0:00,Kirtland,NM,USA,Changing,Daytime video of object changing shape over Kirtland. No time given.,3/7/2021,,,36.736951,-108.357359
Open,6/26/2012 5:00,Las Cruces,NM,USA,Changing,Lights appear and then rotate upwards into the sky.,6/26/2012,,,32.324738,-106.759443
Open,6/11/2007 9:00,Las Cruces,NM,USA,Changing,Bright object in sky moving at extremely fast speed and changing course abruptly,4/10/2008,,,32.324738,-106.759443
Open,7/7/1997 20:45,Las Cruces,NM,USA,Changing,It was never anything I have seen before.,10/12/2001,,,32.324738,-106.759443
Open,10/28/1987 20:30,Las Cruces,NM,USA,Changing,Las Cruces lights.,4/24/2004,,,32.324738,-106.759443
Open,7/15/1986 7:30,Las Vegas,NM,USA,Changing,"luminous object hangs in air, disappears rapidly in the distance",8/5/2003,,,35.598375,-105.224193
Open,9/12/2000 17:00,Lordsburg,NM,USA,Changing,"Spotted a hovering, color-changing object over the desert east of Lordsburg, New Mexico on Sept. 12, 2000 from I-10.",10/6/2000,,,32.348523,-108.707488
Open,10/19/2020 22:45,Los Alamos,NM,USA,Changing,The craft blinked in the distance signaling one in the sky like they were blinking in a binary morse code type pattern. Then one descen,4/30/2021,,,35.878996,-106.300662
Open,5/1/2020 5:26,Peralta,NM,USA,Changing,Pin point of light turns into large disk of ligtht. ((NUFORC Note: Flare from an Iridium satellite?? PD)),5/1/2020,,,34.836867,-106.690214
Open,10/7/2017 21:50,Pojoaque,NM,USA,Changing,Blue and Red blinking lights on a first egg type flying object above pojoque mountains overlooking Las alamos,10/7/2017,,,35.892967,-106.005007
Open,2/25/2022 15:00,Rio Rancho,NM,USA,Changing,My daughter (27 years old) was looking out the living room window and said “are you seeing this shit”. I then looked out and saw them,3/9/2022,,,35.231041,-106.662789
Open,2/18/2022 21:30,Rio Rancho,NM,USA,Changing,"Sent to Linda Moulton Howe, she can't ID",2/20/2022,Y,,35.231041,-106.662789
Open,2/18/2022 20:50,Rio Rancho,NM,USA,Changing,"Started out with two lights then separated out into multiple lights. Video has been cleaned by pro, results remarkable.",2/24/2022,Y,,35.231041,-106.662789
Open,11/11/2021 19:00,Rio Rancho,NM,USA,Changing,Witnessed bright object high in sky that changed colors randomly.,11/22/2021,,,35.231041,-106.662789
Open,9/15/2008 18:30,Roswell,NM,USA,Changing,bright blue illuminating object above the buildings hanging out in the sky changed shapes and colors,10/12/2008,,,33.394758,-104.523489
Open,9/5/2007 23:55,Roswell,NM,USA,Changing,dim lights moving in u shaped formation over Roswell,9/4/2007,,,33.394758,-104.523489
Open,2/29/2004 19:30,Roswell,NM,USA,Changing,"Emerala shape, stationary in the South west sky atabout a 45 Degee attitude from horizion,seemed to be following earth rotation.",3/10/2004,,,33.394758,-104.523489
Open,1/23/2020 19:35,Santa Fe,NM,USA,Changing,"Large Object Hovering/Flying with Flashing bright lights over Santa FE NM, witnessed by 3",1/23/2020,,,35.685756,-105.938613
Open,2/5/2013 1:30,Santa Fe,NM,USA,Changing,"UFO over Santa Fe, NM, possibly disk shaped, stationary, with light rays of various colors emanating from it. ((Sirius??))",2/5/2013,,,35.685756,-105.938613
Open,1/20/2012 22:20,Silver City,NM,USA,Changing,"Red/orange orb interacts with jets, chased by more jets, re-appears 4 days later.",1/24/2012,,,32.769306,-108.280215
Open,3/12/2007 21:00,Silver City,NM,USA,Changing,"UFO With Green, Red, And Blue Lights That Split Into 2, Formed Back Into One, Then Shut Off And Fell From The Sky Followed By 2 Circles",3/12/2007,,,32.769306,-108.280215
Open,7/12/2006 5:00,Silver City,NM,USA,Changing,"Unusual cloudlike formation with extending tendrils seen over Silver City, New Mexico",7/17/2006,,,32.769306,-108.280215
Open,2/6/2020 18:34,Socorro,NM,USA,Changing,"On the evening of February 6, 2020 around approximately 6:34 PM, I was driving Northbound on Interstate 25 near Milepost 124 South of S",2/7/2020,,,34.057247,-106.892888
Open,9/1/1996 5:35,Taos,NM,USA,Changing,Hovering over the trees next to my house. 3 globes of luminous light as large as basketballs. Rotated then took off and disappeared,9/15/2019,,,36.406326,-105.573264
Open,8/6/2022 1:00,Truchas,NM,USA,Changing,I watched these change shape and fly off upwards fast.,8/9/2022,,,36.043574,-105.812729
Open,12/27/2020 16:30,Truth or Consequences,NM,USA,Changing,Cigar shape object that changed shape to a fish like object and others to appear to have landing legs.,1/2/2021,,,33.134561,-107.248733
Open,7/28/2002 10:00,Truth or Consequences,NM,USA,Changing,shinny square no windows with 2 rotating blades on bottom,6/1/2005,,,33.132497,-107.252571
Open,8/30/2022 5:26,Zuni,NM,USA,Changing,Observed unknown objects moving in early morning sky.,10/10/2022,,,35.067573,-108.845846
Open,5/27/2021 22:37,,NM,USA,Changing,"When the craft first appeared, it had two lights on top blinking and a red light on bottom. Another craft flew directly in front of it,",5/30/2021,,,34.5199,-105.8701
Open,11/17/2009 4:10,Albuquerque,NM,USA,Chevron,Saw a chevron of lights moving from north to south while watching for the Leonid meteor shower.,11/17/2009,,,35.101401,-106.631867
Open,2/20/2007 20:45,Albuquerque,NM,USA,Chevron,Watched a vee formation of 7 glowing gold chevron/B-1 bomber shaped objects fly silently overhead in night sky.,4/13/2007,,,35.101401,-106.631867
Open,3/13/2004 20:08,Albuquerque,NM,USA,Chevron,ufo fly over out of this world sighting,3/13/2004,,,35.101401,-106.631867
Open,4/5/2003 22:30,Albuquerque,NM,USA,Chevron,"Extemely large ""flying wing"" hovering above a shopping center in Albuquerque NM then left southbound at slow speeds.",2/2/2004,,,35.101401,-106.631867
Open,7/15/1986 19:30,Albuquerque,NM,USA,Chevron,My friend and I were relaxing in a park during the summer of 1986 not far from a friends house where we had left about a half hour earl,9/19/2006,,,35.101401,-106.631867
Open,7/15/1977 21:00,Albuquerque,NM,USA,Chevron,The object appeared to be a giant piece of glass.,2/24/2005,,,35.101401,-106.631867
Open,3/5/2016 17:45,Gage,NM,USA,Chevron,"Slow rotation, sationery in one place, with slight windy conditions, seems to be 20 mi maybe away or less see direction. When rotating",3/5/2016,,,32.226165,-108.08701
Open,4/29/2009 22:30,Los Lunas,NM,USA,Chevron,Chevron shaped craft with dim lights on the botton looked like 3 on each wing. Super quiet.,4/29/2009,,,34.804859,-106.733988
Open,7/18/2001 21:00,Roswell,NM,USA,Chevron,low iredescent V shaped light,7/21/2001,,,33.394758,-104.523489
Open,3/19/2014 22:26,Santa Fe,NM,USA,Chevron,V-shaped formation of lights moving noiselessly in night sky.,3/20/2014,,,35.685756,-105.938613
Open,2/27/2008 22:30,Santa Fe,NM,USA,Chevron,We saw a triangular shaped object moving across the sky.,2/27/2008,,,35.685756,-105.938613
Open,11/24/2002 6:25,Santa Fe,NM,USA,Chevron,slow moving object evolves from a light green colored embryo shape to a full saucer with tent top and wht bulb like trim.,2/22/2003,,,35.685756,-105.938613
Open,5/1/1995 12:00,White Sands,NM,USA,Chevron,"Large, unusually-shaped metallic object over White Sands NM, May 1995",10/28/2008,,,32.943564,-106.419441
Open,6/2/2021 23:00,Albuquerque,NM,USA,Cigar,I was in my grow room approximately 11:15 at night. I was trimming my plants and watering them.I looked over to the left of the grow te,6/16/2021,,,35.101401,-106.631867
Open,6/2/2021 23:00,Albuquerque,NM,USA,Cigar,"I was in my grow room approximately 11:15 or so. I was trimming my plants and watering them.I looked over to the left of the grow tent,",6/16/2021,,,35.101401,-106.631867
Open,1/9/2021 6:32,Albuquerque,NM,USA,Cigar,Linear strand of approximately 5-10 white lights moving quickly and silently across the sky,1/9/2021,,,35.101401,-106.631867
Open,9/9/2016 19:30,Albuquerque,NM,USA,Cigar,Bright pink vertical cigar-shaped object observed in evening sky of Albuquerque to the west,9/10/2016,,,35.101401,-106.631867
Open,6/28/2014 11:00,Albuquerque,NM,USA,Cigar,"This morning, while stopped at a red light at Academy and Wyoming, I noticed what looked like an airplane at 35000 feet (traveling NE),",6/28/2014,,,35.101401,-106.631867
Open,7/31/2010 4:15,Albuquerque,NM,USA,Cigar,Night sky turned white with a cigar shaped object in the middle of a circle of light,8/1/2010,,,35.101401,-106.631867
Open,8/19/2009 22:00,Albuquerque,NM,USA,Cigar,Short cigar shaped object with rays of light eminating from one end; stayed in the sky for 2 hrs+.,8/20/2009,,,35.101401,-106.631867
Open,9/21/2007 12:20,Albuquerque,NM,USA,Cigar,"Bright White disk shape hovering, then suddeny dissapears. Very shocking.",9/21/2007,,,35.101401,-106.631867
Open,8/10/2006 11:00,Albuquerque,NM,USA,Cigar,Cigar Craft Cited by Sandia Mountains in Albuquerque.,9/24/2017,,,35.101401,-106.631867
Open,7/19/2006 19:20,Albuquerque,NM,USA,Cigar,"white, cigar shaped, silent and seemed to glow",7/20/2006,,,35.101401,-106.631867
Open,11/1/1993 23:45,Albuquerque,NM,USA,Cigar,"A colorful object was hovering over the Petroglyphs, which backed up to my back yard, and it had no sound.",3/3/1999,,,35.101401,-106.631867
Open,8/15/1967 14:00,Albuquerque,NM,USA,Cigar,three terrified kids,8/24/2002,,,35.101401,-106.631867
Open,9/21/2007 10:34,Bisti,NM,USA,Cigar,"Bright White Cigar Shaped Craft Hovered Near Bisti and Took Off, Left No Trace.",9/22/2007,,,36.287612,-108.124959
Open,6/22/2005 22:00,Carrizozo,NM,USA,Cigar,LIGHTED CLOUD IN SKY,6/25/2005,,,33.642981,-105.876232
Open,1/1/2023 16:45,Clovis,NM,USA,Cigar,Cigar shape bobbed in & out of clouds in place.,1/2/2023,,,34.406841,-103.199641
Open,11/13/2020 0:00,Corrales,NM,USA,Cigar,"Short cigar, cigar shaped object. Over the house, a little ways. Bright sillouettte.",11/13/2020,,,35.235695,-106.605927
Open,7/5/2003 10:30,Crystal,NM,USA,Cigar,a silvery object was moving across the clear blue sky at a slow speed.,7/14/2003,,,36.045283,-108.964589
Open,12/22/2019 7:00,Deming,NM,USA,Cigar,Large stationary object for over an hour,12/26/2019,,,32.260473,-107.744865
Open,11/22/1992 0:00,Deming,NM,USA,Cigar,SAW LARGE GRAY CIGAR SHAPED OBJECT HOVERING OVER DESERT AREA SOUTH OF I 10.NOT A BLIMP NO LIGHTS NO CABLES NO MOTORS TO LARGE TO BE ANY,1/11/2000,,,32.260473,-107.744865
Open,11/12/1954 13:30,Dona Ana,NM,USA,Cigar,"Saw this in 1954 at the Dona Ana Army rifle range in New Mexico. When the separation of targets from the shooter is large, at each targ",4/5/2020,,,32.392235,-106.814868
Open,8/28/2013 20:00,Edgewood,NM,USA,Cigar,A store in Moriarty had their strobe lights on and we watch for a half hour as everytime the longest strobe came around it would shine,8/28/2013,,,35.062178,-106.190312
Open,11/23/2000 18:37,El Paso,NM,USA,Cigar,A dark cigar-shaped object with no lights that was at least 100 meters wide.,11/23/2000,,,31.985619,-106.603502
Open,6/24/2014 18:50,Farmington,NM,USA,Cigar,Aircraft was a shiny metallic cigar shape and slowly moved across a city league softball game.,6/30/2014,,,36.746211,-108.19233
Open,6/30/1999 23:20,Herron Lake State Park,NM,USA,Cigar,"2 separate sightings- just minutes apart, may have been the same object.",7/3/1999,,,36.665702,-106.690881
Open,10/9/2019 23:30,Las Cruces,NM,USA,Cigar,A large black pencil shaped object sped by the width of the moon as observed through my telescope at 23:30 hrs on 10/09/19.,10/9/2019,,,32.324738,-106.759443
Open,6/15/1973 8:00,Los Alamos,NM,USA,Cigar,Has anyone else reported a ufo over LOS ALAMOS NATIONAL LABORATORIES around this time? I know of at least 2 others that saw it. It was,5/9/2001,,,35.878996,-106.300662
Open,6/29/1999 16:00,Navajo Lake,NM,USA,Cigar,shiney object moved across the sky horizontally & did not appear to be a plane.,7/3/1999,,,36.801511,-107.611756
Open,6/5/2023 9:28,Rio Rancho,NM,USA,Cigar,Chromish object from south to southwest,6/5/2023,,,35.231041,-106.662789
Open,3/31/2014 11:52,Rio Rancho,NM,USA,Cigar,Cigar shaped craft traveling much faster than any aircraft I have seen before. No contrail.,3/31/2014,,,35.231041,-106.662789
Open,10/24/2020 18:59,Roy,NM,USA,Cigar,A centipede type light/craft flying across the sky. Looked like a chem trail but was clearly not. Like a thin building with lights flyi,10/25/2020,,,35.944289,-104.194443
Open,3/1/2018 22:35,San Ysidro,NM,USA,Cigar,"Cigar-shaped, about 100' long one dim light in the front and one in the back was black",3/24/2018,,,35.562344,-106.769845
Open,7/11/2020 21:09,Santa Fe,NM,USA,Cigar,Bright blue cigar shape traveling at a high rate of speed over Santa Fe,7/11/2020,,,35.685756,-105.938613
Open,1/8/2001 7:00,Santa Fe,NM,USA,Cigar,large cigar shaped craft,1/8/2001,,,35.685756,-105.938613
Open,10/16/2021 10:30,Taos,NM,USA,Cigar,Cigar object that caught my attention,10/17/2021,,,36.406326,-105.573264
Open,3/22/2019 20:00,Taos,NM,USA,Cigar,In the northern sky just west of the Big Dipper constellation over Taos Mountain on Taos Pueblo. I noticed it because it looked star li,3/23/2019,,,36.406326,-105.573264
Open,6/30/1997 23:00,Tijeras,NM,USA,Cigar,"steadily moved across the sky & then hovered, 2x, creating a triangle formation & then dissapearing.",7/3/1999,,,35.09107,-106.371174
Open,8/27/1998 23:00,Villa Nueva State Park,NM,USA,Cigar,"steadily moved across the sky & then hovered, 2x, creating a triangle formation & then dissapearing.",7/3/1999,,,35.26471,-105.337757
Open,11/5/2007 5:30,Youngsville,NM,USA,Cigar,Nothern New Mexico AM Hunt,1/15/2008,,,36.187303,-106.559295
Open,5/25/2022 15:30,,NM,USA,Cigar,Very fast object streaks across the sky over mountain range,5/26/2022,Y,,34.5199,-105.8701
Open,4/15/2020 19:30,,NM,USA,Cigar,"3 People in 2 states witness flying cigar, disc and triangular shaped objects across sky. ((Starlink satellites?))",4/15/2020,,,34.5199,-105.8701
Open,9/15/2014 11:44,,NM,USA,Cigar,See photos,1/12/2022,Y,,34.5199,-105.8701
Open,10/23/2022 21:39,Abiquiu,NM,USA,Circle,I have been seeing these crafts daily it almost feels like they are following me,10/25/2022,Y,,36.207215,-106.31874
Open,3/19/2024 23:09,Albuquerque,NM,USA,Circle,"I did not see the exact sighting, and I’m not entirely sure what it is but it was caught on my security camera",3/28/2024,Y,,35.101401,-106.631867
Open,10/9/2023 19:02,Albuquerque,NM,USA,Circle,Remained in a circle area turning different colors. Then left.,10/19/2023,,,35.101401,-106.631867
Open,6/8/2023 22:44,Albuquerque,NM,USA,Circle,2 light blue circular objects hovering about 7 miles across from Sandia Crest,6/9/2023,,,35.101401,-106.631867
Open,4/20/2022 21:54,Albuquerque,NM,USA,Circle,Potential object in the sky,6/16/2022,,,35.101401,-106.631867
Open,12/20/2020 0:23,Albuquerque,NM,USA,Circle,Bright light hovering at 9 mile hill,12/28/2020,,,35.101401,-106.631867
Open,5/1/2020 21:02,Albuquerque,NM,USA,Circle,Lights in sky changing directions,5/3/2020,,,35.101401,-106.631867
Open,1/6/2020 19:52,Albuquerque,NM,USA,Circle,Circle ufo with 4 bright white lights hovering over Albuquerque home while driving to work,1/6/2020,,,35.101401,-106.631867
Open,10/15/2019 11:20,Albuquerque,NM,USA,Circle,My sister and I were driving north on corrs Blvd in Albuquerque NM. We were near the montano Rd exit when we saw three 'brown balls' in,10/15/2019,,,35.101401,-106.631867
Open,10/3/2019 6:33,Albuquerque,NM,USA,Circle,"UFO sighting, large moving object hovering with lights",10/8/2019,,,35.101401,-106.631867
Open,8/27/2018 21:00,Albuquerque,NM,USA,Circle,"planes don't zig-zag, it was not a plane.",8/27/2018,,,35.101401,-106.631867
Open,8/25/2018 14:00,Albuquerque,NM,USA,Circle,"Round reflective object in the sky over Albuquerque, NM. ((anonymous report))",8/25/2018,,,35.101401,-106.631867
Open,12/28/2017 4:37,Albuquerque,NM,USA,Circle,Two circular objects giving off extremely bright yellow and green light before dissapating,12/28/2017,,,35.101401,-106.631867
Open,4/9/2017 2:00,Albuquerque,NM,USA,Circle,Moving and changing color circle in sky! ((NUFORC Note: We suspect a sighting of a star or planet. PD)),4/9/2017,,,35.101401,-106.631867
Open,3/23/2017 20:45,Albuquerque,NM,USA,Circle,The event occurred while I was traveling southbound on I-25 at approximately 20:45 hours. Fast moving circular object approximately 20%,3/23/2017,,,35.101401,-106.631867
Open,5/25/2016 21:10,Albuquerque,NM,USA,Circle,"My daughter and I were out on the balcony, facing east, watching the stars. I saw a white light moving from south to east.",5/25/2016,,,35.101401,-106.631867
Open,4/7/2016 23:00,Albuquerque,NM,USA,Circle,A circle shape craft illuminated flying from west to east (sandias) followed by black helicopter...,4/8/2016,,,35.101401,-106.631867
Open,12/31/2015 20:50,Albuquerque,NM,USA,Circle,"My husband and I were driving home and my husband looked up and said, ""What is that"" I looked up and we pulled over so we cou",1/3/2016,,,35.101401,-106.631867
Open,9/13/2014 19:40,Albuquerque,NM,USA,Circle,"Bright round object in the Northwestern sky above Rio Rancho, NM. ((NUFORC Note: High-altitude, helium-filled balloon. PD))",9/16/2014,,,35.101401,-106.631867
Open,9/13/2014 14:00,Albuquerque,NM,USA,Circle,Looked like a bright white circular object with no movement in the sky. As the sun went down it turned reddish orange.,9/13/2014,,,35.101401,-106.631867
Open,9/13/2014 14:00,Albuquerque,NM,USA,Circle,Saw white circle high in the sky. Noticed two hours later it was still there in the exact same spot. No movement at all. As night appro,9/13/2014,,,35.101401,-106.631867
Open,9/8/2014 19:24,Albuquerque,NM,USA,Circle,Another evening of mysterious lights over west mesa in Albuquerque.,9/8/2014,,,35.101401,-106.631867
Open,9/2/2014 19:00,Albuquerque,NM,USA,Circle,Mysterious lights over west mesa in Albuquerque.,9/3/2014,,,35.101401,-106.631867
Open,3/29/2014 20:00,Albuquerque,NM,USA,Circle,7 lights hover over the Base and Sandias.,3/30/2014,,,35.101401,-106.631867
Open,3/5/2014 0:00,Albuquerque,NM,USA,Circle,Bright light over Albuquerque.,3/6/2014,,,35.101401,-106.631867
Open,1/1/2014 1:00,Albuquerque,NM,USA,Circle,Cylindrical shape with amber colored lights hovering near Route 66.,1/7/2014,,,35.101401,-106.631867
Open,10/4/2013 20:00,Albuquerque,NM,USA,Circle,Numerous blue white shimmering spheres moving rapidly from northwest to southeast over Albuquerque.,10/7/2013,,,35.101401,-106.631867
Open,9/19/2013 19:45,Albuquerque,NM,USA,Circle,"Star like craft with wings just hovering in one spot in the sky, airplanes flying near it and dogs are barking like crazy.",9/19/2013,,,35.101401,-106.631867
Open,6/20/2013 12:00,Albuquerque,NM,USA,Circle,Large washer shaped object rotating of Kirtland AFB.,8/12/2018,,,35.101401,-106.631867
Open,4/6/2013 10:35,Albuquerque,NM,USA,Circle,Object appeared in photo after seeing military aircraft,4/7/2013,,,35.101401,-106.631867
Open,8/2/2011 21:15,Albuquerque,NM,USA,Circle,"Green, glowing circle being chased through the albuquerque sky by helicopter",8/2/2011,,,35.101401,-106.631867
Open,12/3/2007 17:35,Albuquerque,NM,USA,Circle,Bright Round Shape directly above heads....,12/9/2011,,,35.101401,-106.631867
Open,5/26/2007 23:58,Albuquerque,NM,USA,Circle,"Beige object west of Sandia Crest, Albuquerque, NM",7/9/2007,,,35.101401,-106.631867
Open,3/6/2007 20:00,Albuquerque,NM,USA,Circle,"UFO sighted on southern boulevard , on the west mesa in albuquerque.",4/6/2007,,,35.101401,-106.631867
Open,6/1/2005 15:00,Albuquerque,NM,USA,Circle,"1 circular partially clear object sat in sky for about 1/2 hour and did not move. It changed opacity several times, stayed in same posi",6/4/2005,,,35.101401,-106.631867
Open,8/31/2004 16:10,Albuquerque,NM,USA,Circle,White circular object rising straight up faster than balloon.,8/31/2004,,,35.101401,-106.631867
Open,7/31/2004 19:35,Albuquerque,NM,USA,Circle,Bright white sphere traveled across Albuquerque sky,8/3/2004,,,35.101401,-106.631867
Open,6/28/2003 4:00,Albuquerque,NM,USA,Circle,"Photos of UFO in sky above Sandia Peak, NM",10/28/2003,,,35.101401,-106.631867
Open,8/11/2002 4:20,Albuquerque,NM,USA,Circle,SIX DIFFERENT CIRCLULAR OBJECTS MANOUVER OVER HOME AND DRIFT FROM VIEW.,8/20/2002,,,35.101401,-106.631867
Open,5/25/2002 0:00,Albuquerque,NM,USA,Circle,"CRAFT AND IT'S PROBE MOTIONLESS OVER NUCLEAR DEPOT ONE HOUR AT AFB IN ALB,N.M.",10/21/2003,,,35.101401,-106.631867
Open,8/9/2000 12:48,Albuquerque,NM,USA,Circle,i was taking pictures of the sunset and didn't notice until later what had passed in front of my lense.,2/24/2005,,,35.101401,-106.631867
Open,12/8/1979 20:30,Albuquerque,NM,USA,Circle,The night when I saw the disk UFO!,1/3/2007,,,35.101401,-106.631867
Open,5/15/1979 2:00,Albuquerque,NM,USA,Circle,Near encounter (100 feet) for 1 minute.,7/12/2013,,,35.101401,-106.631867
Open,12/18/1978 18:00,Albuquerque,NM,USA,Circle,"Flat, Round, Fully Illuminated UFO over Neighbor's House - Dec 1978 - Albuquerque, NM",1/26/2022,Y,,35.101401,-106.631867
Open,9/22/2012 17:30,Albuquerque,NM,USA,Circle,Circle shape to the west staying mostly in one spot as light fades it gets harder to see. Smaller than the moon but way bigger than a,9/22/2012,,,35.101401,-106.631867
Open,1/27/2023 7:38,Albuquerque,NM,USA,Circle,This was not an aircraft.,3/20/2023,Y,,35.082738,-106.780353
Open,12/27/2011 5:25,Albuquerque,NM,USA,Circle,Yellow ball accelerates rapidly from a standstill over Albuquerque Int'l Airport,12/28/2011,,,35.037353,-106.612516
